code,term
A395,Meningococcal heart disease
A520,Cardiovascular syphilis
B332,Viral carditis
B570,Acute Chagas disease with heart involvement
B572,Chagas disease (chronic) with heart involvement
C380,Malignant neoplasm: Heart
C755,Malignant neoplasm: Aortic body and other paraganglia
D151,Benign neoplasm: Heart
D446,Neoplasm of uncertain or unknown behaviour: Carotid body
D447,Neoplasm of uncertain or unknown behaviour: Aortic body and other paraganglia
I010,Acute rheumatic pericarditis
I012,Acute rheumatic myocarditis
I018,Other acute rheumatic heart disease
I019,Acute rheumatic heart disease, unspecified
I020,Rheumatic chorea with heart involvement
I029,Rheumatic chorea without heart involvement
I090,Rheumatic myocarditis
I092,Chronic rheumatic pericarditis
I099,Rheumatic heart disease, unspecified
I241,Dressler syndrome
I250,Atherosclerotic cardiovascular disease, so described
I251,Atherosclerotic heart disease
I252,Old myocardial infarction
I253,Aneurysm of heart
I254,Coronary artery aneurysm and dissection
I255,Ischaemic cardiomyopathy
I258,Other forms of chronic ischaemic heart disease
I259,Chronic ischaemic heart disease, unspecified
I260,Pulmonary embolism with mention of acute cor pulmonale
I271,Kyphoscoliotic heart disease
I272,Other secondary pulmonary hypertension
I278,Other specified pulmonary heart diseases
I279,Pulmonary heart disease, unspecified
I280,Arteriovenous fistula of pulmonary vessels
I281,Aneurysm of pulmonary artery
I288,Other specified diseases of pulmonary vessels
I289,Disease of pulmonary vessels, unspecified
I300,Acute nonspecific idiopathic pericarditis
I301,Infective pericarditis
I308,Other forms of acute pericarditis
I309,Acute pericarditis, unspecified
I310,Chronic adhesive pericarditis
I311,Chronic constrictive pericarditis
I312,Haemopericardium, not elsewhere classified
I313,Pericardial effusion (noninflammatory)
I318,Other specified diseases of pericardium
I319,Disease of pericardium, unspecified
I320,Pericarditis in bacterial diseases classified elsewhere
I321,Pericarditis in other infectious and parasitic diseases classified elsewhere
I328,Pericarditis in other diseases classified elsewhere
I400,Infective myocarditis
I401,Isolated myocarditis
I408,Other acute myocarditis
I409,Acute myocarditis, unspecified
I410,Myocarditis in bacterial diseases classified elsewhere
I411,Myocarditis in viral diseases classified elsewhere
I412,Myocarditis in other infectious and parasitic diseases classified elsewhere
I418,Myocarditis in other diseases classified elsewhere
I420,Dilated cardiomyopathy
I421,Obstructive hypertrophic cardiomyopathy
I422,Other hypertrophic cardiomyopathy
I423,Endomyocardial (eosinophilic) disease
I424,Endocardial fibroelastosis
I425,Other restrictive cardiomyopathy
I426,Alcoholic cardiomyopathy
I427,Cardiomyopathy due to drugs and other external agents
I428,Other cardiomyopathies
I429,Cardiomyopathy, unspecified
I430,Cardiomyopathy in infectious and parasitic diseases classified elsewhere
I431,Cardiomyopathy in metabolic diseases
I432,Cardiomyopathy in nutritional diseases
I438,Cardiomyopathy in other diseases classified elsewhere
I510,Cardiac septal defect, acquired
I513,Intracardiac thrombosis, not elsewhere classified
I514,Myocarditis, unspecified
I515,Myocardial degeneration
I516,Cardiovascular disease, unspecified
I517,Cardiomegaly
I518,Other ill-defined heart diseases
I519,Heart disease, unspecified
I520,Other heart disorders in bacterial diseases classified elsewhere
I521,Other heart disorders in other infectious and parasitic diseases classified elsewhere
I528,Other heart disorders in other diseases classified elsewhere
I710,Dissection of aorta [any part]
I950,Idiopathic hypotension
I952,Hypotension due to drugs
I958,Other hypotension
I959,Hypotension, unspecified
I970,Postcardiotomy syndrome
I978,Other postprocedural disorders of circulatory system, not elsewhere classified
I979,Postprocedural disorder of circulatory system, unspecified
I980,Cardiovascular syphilis
I981,Cardiovascular disorders in other infectious and parasitic diseases classified elsewhere
I988,Other specified disorders of circulatory system in diseases classified elsewhere
I99X,Other and unspecified disorders of circulatory system
R011,Cardiac murmur, unspecified
R012,Other cardiac sounds
R030,Elevated blood-pressure reading, without diagnosis of hypertension
R031,Nonspecific low blood-pressure reading
R58X,Haemorrhage, not elsewhere classified
R931,Abnormal findings on diagnostic imaging of heart and coronary circulation
R943,Abnormal results of cardiovascular function studies
S260,Injury of heart with haemopericardium
S2600,Injury of heart with haemopericardium: without open wound into thoracic cavity
S2601,Injury of heart with haemopericardium: with open wound into thoracic cavity
S268,Other injuries of heart
S2680,Other injuries of heart: without open wound into thoracic cavity
S2681,Other injuries of heart: with open wound into thoracic cavity
S269,Injury of heart, unspecified
S2690,Injury of heart, unspecified: without open wound into thoracic cavity
S2691,Injury of heart, unspecified: with open wound into thoracic cavity
T820,Mechanical complication of heart valve prosthesis
T821,Mechanical complication of cardiac electronic device
T822,Mechanical complication of coronary artery bypass and valve grafts
T825,Mechanical complication of other cardiac and vascular devices and implants
T827,Infection and inflammatory reaction due to other cardiac and vascular devices, implants and grafts
T828,Other specified complications of cardiac and vascular prosthetic devices, implants and grafts
T829,Unspecified complication of cardiac and vascular prosthetic device, implant and graft
Z034,Observation for suspected myocardial infarction
Z035,Observation for other suspected cardiovascular diseases
Z450,Adjustment and management of cardiac devices
