Code,Term
S222,Fracture of sternum
S2220,Fracture of sternum: closed
S2221,Fracture of sternum: open
S223,Fracture of rib
S2230,Fracture of rib: closed
S2231,Fracture of rib: open
S224,Multiple fractures of ribs
S2240,Multiple fractures of ribs: closed
S2241,Multiple fractures of ribs: open
S225,Flail chest
S2250,Flail chest: closed
S2251,Flail chest: open
S228,Fracture of other parts of bony thorax
S2280,Fracture of other parts of bony thorax: closed
S2281,Fracture of other parts of bony thorax: open
S229,Fracture of bony thorax, part unspecified
S2290,Fracture of bony thorax, part unspecified: closed
S2291,Fracture of bony thorax, part unspecified: open
