Code,Term
S202,Contusion of thorax
S203,Other superficial injuries of front wall of thorax
S204,Other superficial injuries of back wall of thorax
S207,Multiple superficial injuries of thorax
S208,Superficial injury of other and unspecified parts of thorax
S211,Open wound of front wall of thorax
S212,Open wound of back wall of thorax
S217,Multiple open wounds of thoracic wall
S218,Open wound of other parts of thorax
S219,Open wound of thorax, part unspecified
S234,Sprain and strain of ribs and sternum
S290,Injury of muscle and tendon at thorax level
S297,Multiple injuries of thorax
S298,Other specified injuries of thorax
S299,Unspecified injury of thorax
S300,Contusion of lower back and pelvis
S307,Multiple superficial injuries of abdomen, lower back and pelvis
S308,Other superficial injuries of abdomen, lower back and pelvis
S309,Superficial injury of abdomen, lower back and pelvis, part unspecified
S310,Open wound of lower back and pelvis
S317,Multiple open wounds of abdomen, lower back and pelvis
S318,Open wound of other and unspecified parts of abdomen
S381,Crushing injury of other and unspecified parts of abdomen, lower back and pelvis
S383,Traumatic amputation of other and unspecified parts of abdomen, lower back and pelvis
S390,Injury of muscle and tendon of abdomen, lower back and pelvis
S398,Other specified injuries of abdomen, lower back and pelvis
S399,Unspecified injury of abdomen, lower back and pelvis
T001,Superficial injuries involving thorax with abdomen, lower back and pelvis
T011,Open wounds involving thorax with abdomen, lower back and pelvis
T041,Crushing injuries involving thorax with abdomen, lower back and pelvis
T047,Crushing injuries of thorax with abdomen, lower back and pelvis with limb(s)
T090,Superficial injury of trunk, level unspecified
T091,Open wound of trunk, level unspecified
T092,Dislocation, sprain and strain of unspecified joint and ligament of trunk
T096,Traumatic amputation of trunk, level unspecified
T098,Other specified injuries of trunk, level unspecified
T099,Unspecified injury of trunk, level unspecified
