code,term
K041,Repair of tetralogy of Fallot using valved right ventricular outflow conduit
K042,Repair of tetralogy of Fallot using right ventricular outflow conduit NEC
K043,Repair of tetralogy of Fallot using transannular patch
K045,Repair of tetralogy of Fallot with absent pulmonary valve
K048,Other specified repair of tetralogy of Fallot
K049,Unspecified repair of tetralogy of Fallot
K051,Reconstruction of atrium using atrial patch for transposition of great arteries
K052,Reconstruction of atrium using atrial wall for transposition of great arteries
K058,Other specified atrial inversion operations for transposition of great arteries
K059,Unspecified atrial inversion operations for transposition of great arteries
K061,Repositioning of transposed great arteries
K062,Left ventricle to aorta tunnel with right ventricle to pulmonary trunk direct anastomosis
K063,Left ventricle to aorta tunnel with right ventricle to pulmonary artery valved conduit
K068,Other specified other repair of transposition of great arteries
K069,Unspecified other repair of transposition of great arteries
K071,Correction of total anomalous pulmonary venous connection to supracardiac vessel
K072,Correction of total anomalous pulmonary venous connection to coronary sinus
K073,Correction of total anomalous pulmonary venous connection to infradiaphragmatic vessel
K078,Other specified correction of total anomalous pulmonary venous connection
K079,Unspecified correction of total anomalous pulmonary venous connection
K081,Repair of double outlet right ventricle with intraventricular tunnel
K082,Repair of Fallot-type double outlet right ventricle
K083,Repair of double outlet right ventricle
K084,Repair of double outlet left ventricle
K088,Other specified repair of double outlet ventricle
K089,Unspecified repair of double outlet ventricle
K091,Repair of defect of atrioventricular septum using dual prosthetic patches
K092,Repair of defect of atrioventricular septum using prosthetic patch NEC
K093,Repair of defect of atrioventricular septum using tissue graft
K095,Primary repair of defect of atrioventricular septum NEC
K098,Other specified repair of defect of atrioventricular septum
K099,Unspecified repair of defect of atrioventricular septum
K172,Total cavopulmonary connection with lateral atrial tunnel
K173,Aortopulmonary reconstruction with systemic to pulmonary arterial shunt
K174,Aortopulmonary reconstruction with right ventricle to pulmonary arterial valveless conduit
K176,Takedown of total cavopulmonary connection
K178,Other specified repair of univentricular heart
K179,Unspecified repair of univentricular heart
K181,Creation of valved conduit between atrium and ventricle of heart
K182,Creation of valved conduit between right atrium and pulmonary artery
K183,Creation of valved conduit between right ventricle of heart and pulmonary artery
K184,Creation of valved conduit between left ventricle of heart and aorta
K186,Creation of valved conduit between left ventricle of heart and pulmonary artery
K187,Replacement of valved cardiac conduit
K191,Creation of conduit between atrium and ventricle of heart NEC
K192,Creation of conduit between right atrium and pulmonary artery NEC
K193,Creation of conduit between right ventricle of heart and pulmonary artery NEC
K194,Creation of conduit between right ventricle of heart and vena cava
K195,Creation of conduit between left ventricle of heart and aorta NEC
K376,Aortoventriculoplasty
L011,Correction of persistent truncus arteriosus
L013,Repair of anomalous pulmonary artery origin from ascending aorta
L014,Closure of aortopulmonary window
L066,Revision of anastomosis to pulmonary artery from aorta
L067,Takedown of anastomosis to pulmonary artery from aorta
L084,Revision of anastomosis to pulmonary artery from subclavian artery
L092,Removal of anastomosis between pulmonary artery and vena cava
L692,Pulmonary unifocalisation
